,PC1,PC2
MW,0.38920060397487616,-0.12285094861375748
LogP,-0.14332357144815433,-0.3075301711633776
TPSA,0.41349252829084326,0.13151456890452204
HBD,0.3368500668186166,0.15213230084819787
HBA,0.40543589219508935,0.1421950277939155
RotBonds,0.18597155932419687,-0.23712374369589784
Rings,0.250551554229824,0.03041706125882951
Fsp3,0.1042172726792315,-0.589795783811129
Aromatic,-0.08049471338577005,0.5964192741803985
Heteroatoms,0.4088735503360167,0.13743705368398448
QED,-0.3118961708778459,0.2237325750612293
